"STUDY_ID","REVIEWERS","INCLUDE","Study_ID","AUTHORS","TITLE","JOURNAL","VOLUME","INITIAL_PAGE","END_PAGE","DOI","PUBLICATION_YEAR","ABSTRACT","Database_year","INCLUSION","WHY1","INCLUSION2","Pdf_available","Type","Notes...17","INCLUSION3","WHY3","Notes...20","Country","...22","...23","...24"
"1","Amara","NO","436","Aidar, Marcos P.M.; Carrenho, Rosilaine; Joly, Carlos A.","Aspects of arbuscular mycorrhizal fungi in an atlantic forest chronosequence parque estadual turístico do Alto Ribeira (petar), SP","Biota Neotropica","4","1","15",NA,"2004","Mycorrhizal colonization was assessed in roots of trees within an Atlantic Forest chronosequence, located in the southeastern of São Paulo State, Brazil, inside Tourist State Park of the High Ribeira Valley (PETAR). The phytosociological survey was carried out in three adjacent areas, all on calcareous soil, which correspond to different time intervals during which they have been left abandoned following a slash-and-burn agricultural perturbation. Early Phase (EP) with 15 years; Mid Phase (MP) with 25 years; and Late Phase (LP) with more than 36 years without clear-cut. The inventory indicated a continuum of tree species substitution, which is dominated by species of Leguminosae, especially Piptadenia gonoacantha (Mart.) J.F. Macbr. (Mimosoideae) in the earlier successional phases. Mycorrhizal colonization, estimated by the occurrence of the mycorrhizal structures in the tree species roots, diminished during the season with less rain (winter), and showed no significant differences between successional phases in the wet season (summer). Rather, the mycorrhizal colonization was correlated with occurrence of the tree’s successional status: being positively correlated with occurrence of pioneer species, and negatively correlated with late secondary species. Mycorrhizal colonization was also correlated negatively with soil organic matter and base saturation. Twenty five species of arbuscular mycorrhizal fungi belonging to four genera were identified. Six species were only identified to generic level. The species Glomus etunicatum Becker & Gerd. represented 10% of the total number of spores and occurred in all phases and seasons, while the genus Glomus represented 57% of the total of spores found in the rhizosphere. The diversity indices evaluated for the mycohrriza community were: H’ = 2.3, J’ = 0.97 and R = 4.12. These results are a contribution to the knowledge of The Atlantic Forest biodiversity and may have implications to support programs regarding rehabilitation of degraded vegetation in one of the World’s most threatened Biomes.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES",NA,NA,"Indonesia"
"2","Amara","NO","395","Aleixo, Adriana Pereira; Kaschuk, Glaciela; Alberton, Odair","Soil fungal and bacterial biomass determined by epifluorescence microscopy and mycorrhizal spore density in different sugarcane managements","CIENCIA RURAL","44","588","594","10.1590/S0103-84782014000400002","2014","Crop productivity and sustainability have often been related to soil organic matter and soil microbial biomass, especially because of their role in soil nutrient cycling. This study aimed at measuring fungal and bacterial biomass by epifluorescence microscopy and arbuscular mycorrhizal fungal (AMF) spore density in sugarcane (Saccharum officinarum L.) fields under different managements. We collected soil samples of sugarcane fields managed with or without burning, with or without mechanized harvest, with or without application of vinasse and from nearby riparian native forest. The soil samples were collected at 10cm depth and storage at 4 degrees C until analysis. Fungal biomass varied from 25 to 37 mu g C g(-1) dry soil and bacterial from 178 to 263 mu g C g(-1) dry soil. The average fungal/bacterial ratio of fields was 0.14. The AMF spore density varied from 9 to 13 spores g(-1) dry soil. The different sugarcane managements did not affect AMF spore density. In general, there were no significant changes of microbial biomass with crop management and riparian forest. However, the sum of fungal and bacterial biomass measured by epifluorescence microscopy (i.e. 208-301 mu g C g(-1) dry soil) was very close to values of total soil microbial biomass observed in other studies with traditional techniques (e.g. fumigation-extraction). Therefore, determination of fungal/bacterial ratios by epifluorescence microscopy, associated with other parameters, appears to be a promising methodology to understand microbial functionality and nutrient cycling under different soil and crop managements.","Spain",NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Amara","NO","384","Alvito, João Afonso da Silva Alfaro Marreiros","Structural Behavior of Connections in Cement Bonded Particle Boards",NA,NA,NA,NA,NA,"2013",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Amara","NO","506","Ashley, Katherine A.","Population Structure and Reproductive Biology of Monilinia Vaccinii-Corymbosi (Reade) Honey in Lowbush Blueberry in Maine",NA,NA,NA,NA,NA,"2020",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Amara","NO","441","AU B L","Manufacture of fire-resistant panel involves forming panel composition having exothermic curing process into panel, arranging panels so that heat released by panels during curing process is adequate to cure panels with no additional heating",NA,NA,NA,NA,NA,NA,"NOVELTY - A fire-resistant panel is manufactured by preparing a panel composition having an exothermic curing process; forming the panel composition into a panel; arranging panels so that the heat released by the panels during the exothermic curing process is adequate to cure the panels with no additional heating. USE - The inventive method is used for manufacturing a fire-resistant panel (claimed) configured for use in fire-resistant construction. The fire-resistant panel can be used in offices, banks, shopping malls, department stores, supermarkets, restaurants, hotels, cinemas, theaters, opera houses, karaoke, night clubs, jewelry shops, convention centers, exhibition halls, schools, churches, hospitals, clinics, dormitories, gymnasiums, recreation and sports centers, car parks, and hi-rise residential buildings. It is used for partitions, ceilings, interior walls, drywalls, fire walls, hoarding, fire doors, soffits, air-conditioning duct liners, EM (sic) services enclosures, electric conduit liners, plenum ceilings, cores for raised floors, lining panels for elevators; wall coverings for elevator shafts, stairwells, garages; roof-decks, generator-covers, sound-insulating walls, and thermal barriers. It can also be used as ceramic tile underlayment in wet environments. It may be used in fire protective walls, flooring and body for all types of vehicles, including but not limited to cars, buses, trams, trucks, trailers, tourist coaches, mobile homes, school buses, ambulances, trains, cargo trains, MTR/light railcars, MTR/railway stations, terminals, multi-story car parks, gas stations, garages, and cargo handling areas. It may offer particular utility in the transport of materials that exhibit a combustion hazard, e.g. oil trucks and flammable goods trucks. It is well-suited for lightweight and sound-insulating panels, partitions of cabins for all kinds of vessels, especially cruise ships, yachts, hydrofoils, ferries, oil tankers, liquefied petroleum gas (LPG) carriers and naval ships, among others. It is well-suited for industrial wall coverings, partitions, ceilings, electric conduit liners, air conditioning duct covering; oil, flammable goods storage, fire doors, fire exits, fire separation barriers for factories, warehouses, electric sub-stations, and noise silencers. ADVANTAGE - The inventive method manufactures an eco-friendly fire-resistant panel that offers the world's highest-rated fire resistance of 5 hours, high flexural strength, low density, durability and effective water-resistance. The manufactured fire-resistant panel is not only fire-resistant, but is also water-resistant, light in weight, rigid, strong, and durable. For the protection of public health, it is preferably free of toxic materials, e.g. formaldehyde and arsenic, and carcinogenic substances, e.g. asbestos and crystalline silica. It is particularly advantageous in that it is non-combustible, decay-resistant, water-resistant, weather-resistant, heat-insulating, sound-insulating, impact-resistant, termite-repellent, and fungi-repellent. It may provide effective fire prevention and up to 5 hours of fire protection, and is particularly valuable when permitting the safe evacuation of human lives and assets, particularly in disasters like residential, commercial, or forest fires. It offers advantageous properties wherever fire protection is required including, but not limited to, offices, banks, shopping malls, department stores, supermarkets, restaurants, hotels, cinemas, theaters, opera houses, karaoke, night clubs, jewelry shops, convention centers, exhibition halls, schools, churches, hospitals, clinics, dormitories, gymnasiums, recreation and sports centers, car parks, and hi-rise residential buildings. It is most effective in fire protection for plane cabins and cargo holds; ceilings, partitions, wall coverings, fire doors, fire exits, fire separation barriers, air-conditioning duct coverings, EM services enclosures for airports, air cargo terminals, air caterers, hangars, fuel storage, passengers waiting rooms, corridors, and boarding gates. In particular, it offers advantages in the construction of fire protective walls, lift shafts, and stairwell liners for industrial buildings. DETAILED DESCRIPTION - INDEPENDENT CLAIMS are also included for:a suspended ceiling system, that comprises the above fire-resistant panel and that is capable of achieving a fire rating of 5 hours integrity at ∼ 1200°C in accordance with the British Standard 476: Part 22: 1987;a non-load bearing partition system, that comprises the above fire-resistant panel 19-24 and that is capable of achieving a fire-rating of 4 hours integrity and insulation at ∼ 1200°C in accordance with the British Standard 476: Part 22: 1987;a steel stud hoarding system, that comprises the above fire-resistant panel and that is capable of achieving a fire-rating of 4 hours integrity at ∼ 1200°C in accordance with the British Standard 476: Part 22: 1987; andan electrical and mechanical services enclosure system, that comprises the above fire-resistant panel and that is capable of achieving a fire-rating of 2 hours integrity and insulation at ∼ 1050°C in accordance with the British Standard 476: Part 20: 1987. DESCRIPTION Of DRAWING(S) - The figure is a partial cross-sectional view of a fire-resistant panel.10Fireproof or fire-resistant panel material12Core material14Fire-resistant layers16Fire-resistant glass fiber18Fire-resistant fabric","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Amara","YES","192","Axen, Ada J. Fitz; Kim, Mee-Sook; Klopfenstein, Ned B.; Ashiglar, Sara; Hanna, John W.; Bennett, Patrick; Stewart, Jane E.","Fire-associated microbial shifts in soils of western conifer forests with Armillaria root disease","APPLIED AND ENVIRONMENTAL MICROBIOLOGY","90",NA,NA,"10.1128/aem.01312-24","2024","Fires in coniferous forests throughout the northern United States alter ecosystem processes and ecological communities, including the diversity and composition of microbial communities living in the soil. In addition to its influence on ecosystem processes and functions, the soil microbiome can interact with soilborne pathogens to facilitate or suppress plant disease development. Altering the microbiome composition to promote taxa that inhibit pathogenic activity has been suggested as a management strategy for forest diseases, including Armillaria root disease caused by Armillaria solidipes, which causes growth loss and mortality of conifers. These forest ecosystems are experiencing increased wildfire burn severity that could influenceA. solidipes activity and interactions of the soil microbiome with Armillaria root disease. In this research, we examine changes to the soil microbiome following three levels of burn severity in a coniferous forest in northern Idaho, United States, where Armillaria root disease is prevalent. We further determine how these changes correspond to the soil microbiomes associated with the pathogen A. solidipes, and a putatively beneficial species, A. altimontana. At 15-months post-fire, we found significant differences in richness and diversity between bacterial communities associated with unburned and burned areas, yet no significant changes to these metrics were found in fungal communities following fire. However, both bacterial and fungal communities showed compositional changes associated with burn severity, including microbial taxa with altered relative abundance. Further, significant differences in the relative abundance of certain microbial taxa in communities associated with the three burn severity levels overlapped with taxa associated with various Armillaria spp. Following severe burn, we observed a decreased relative abundance of beneficial ectomycorrhizal fungi associated with the microbial communities of A. altimontana, which may contribute to the antagonistic activity of this soil microbial community. Additionally, A. solidipes and associated microbial taxa were found to dominate following high-severity burns, suggesting that severe fires provide suitable environmental conditions for these species. Overall, our results suggest that shifts in the soil microbiome and an associated increase in the activity of A. solidipes following high-severity burns in similar conifer forests may result in priority areas for monitoring and proactive management of Armillaria root disease.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Amara","NO","473","Barbosa, Reinaldo Imbrozio; Ferreira, Carlos Alberto Cid","Biomassa acima do solo de um ecossistema de campina em Roraima, norte da Amazônia brasileira","Acta Amazonica","34","577","586",NA,"2004","The aboveground biomass of a campina ecosystem was estimated in Roraima, in the northern portion of Brazilian Amazonia. The biomass was determined from a phytosociological inventory (1 ha) and distributed between two categories: (1) grassy-woody, composed of herbs+lichens (Poaceae, Cyperaceae, Eriocaulaceae, Cladonia spp), Bromeliaceae, seedlings, fine and coarse litter and, (2) woody, composed of trees and bushes. The grassy-woody category was estimated by the direct method (cutting and weighing) in 10 1-m² plots, taking advantage of transects of the inventory. The category woody was estimated by the indirect method cutting 98 individuals of different species and diameters. A model was generated to express the relationship among total dry above-ground biomass (kg), base circumference (cm) and total height (m) for the individuals in this category. The equation was applied to the 3,966 ind.ha-1 observed in the inventory. The total biomass was estimated at 15.91 t.ha-1, of which 2.20 ± 0.23 t.ha-1 (13.8%) was in the grassy-woody category and 13.70 ± 7.13 t.ha-1 (86.2%) in woody category. The tree species with the highest biomass was Humiria balsamifera (Aubl.) St. Hill. (8.43 t.ha-1), followed by Pagamea guianensis Aubl. (1.14 t.ha-1). These results are important for refining the calculations of greenhouse-gas emissions from burning and decomposition of above-ground biomass in campina ecosystems in the Amazon region.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Amara","YES","423","Barnard, David M.; Mahood, Adam L.; Macdonald, Jacob A.; Amundson, Kaela K.; Fegel, Timothy S.; Gleason, Sean M.; Guimond, Madeline; Kaiser, Sophie; Sparks, Kya; Wilkins, Michael J.; Rhoades, Charles C.","Indirect effects of soil amendments on plant traits and the microbiome in post-wildfire forest recovery","FOREST ECOLOGY AND MANAGEMENT","594",NA,NA,"10.1016/j.foreco.2025.122953","2025","As wildfires intensify across the western United States, understanding long-term ecosystem recovery is increasingly critical. Post-fire soil amendments, such as woody mulch or biochar, are commonly used to stabilize soils and promote vegetation recovery, yet their effects on plant functional strategies and plant-microbe interactions remain poorly understood. Thirteen years after a high-severity wildfire in Colorado, we evaluated the impacts of these treatments on soil properties, microbial communities, and plant functional traits, including plant height, specific leaf area (SLA), and leaf dry matter content (LDMC). While statistical means comparisons showed limited treatment effects on vegetation composition or plant traits, random forest and exploratory mediation models revealed complex, non-linear, and indirect relationships among soil chemistry, microbial community composition, and plant responses. Notably, microbial community shifts and soil nutrient changes, especially in nitrogen form, emerged as key drivers of plant trait variation. Vaccinium scoparium responded more strongly to NH4+ and ectomycorrhizal fungi, while Oreochrysum parryi was associated with NO3 - and bacterial/archaeal diversity. Biochar increased soil carbon and microbial diversity, whereas mulch enhanced soil moisture and reduced NO3 - availability, leading to contrasting effects on microbial and plant responses. These findings demonstrate that post-fire soil amendments can have meaningful yet indirect impacts on plant resource use strategies and microbial dynamics, which may not be captured using conventional analyses. Our results highlight the value of trait-based approaches and integrative modeling for guiding restoration strategies aimed at enhancing ecosystem function and resilience in fire-affected landscapes.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Amara","NO","445","Barou, Vasiliki; Zabal-Aguirre, Mario; Parlade, Javier; Rincon, Ana","Tuber melanosporum Vittad. abundance and specific soil parameters predict soil enzymatic activity in wild and managed truffle producing systems","APPLIED SOIL ECOLOGY","206",NA,NA,"10.1016/j.apsoil.2025.105872","2025","Soil microorganisms are able to produce extracellular enzymes and are crucial for ecosystem processes like decomposition and nutrient cycling. The black truffle ( Tuber melanosporum Vittad.) is a highly valued ectomycorrhizal edible fungus. It exerts a strong allelopathic effect, creating a burnt area around the host tree that impacts soil biotic and abiotic properties, and likely affects soil functioning as well. This study investigated the influence of black truffle abundance on soil functions, at different seasons and truffle-producing systems. A regional field design was set up in black truffle productive plantations and forests across the natural distribution area of this fungus in Spain. Physico-chemical soil properties, potential soil enzymatic activities related with carbon, phosphorus and nitrogen cycling, and soil fungal richness and abundance were determined. Black truffle- producing forests generally exhibited lower enzymatic activity compared to plantations, except for chitinase. Besides greater soil enzymatic activity -mainly related with rapid carbon and nitrogen turnover- was observed in late spring than autumn, independently of the type of truffle producing system. Our findings revealed a significant negative impact of black truffle abundance on soil enzymatic activities, and particularly on those involved in carbon and nitrogen mobilisation. Besides the strong local site effect, other biotic and abiotic factors differently impacted soil functioning in truffle forests (Mg) and plantations (Ascomycetes richness, CaCO3, Na). These results offer insights into the ecology and functionality of host-truffle-soil interactions and provide valuable information for optimising management practices in black truffle plantations.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Amara","NO","344","Bastias, Brigitte Alice","The Influence of Repeated Prescribed Burning and Forest Conversion on Soil Fungal Communities",NA,NA,NA,NA,NA,"2007",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Amara","NO","432","Bigaton, Daisa; Arruda Bacchi, Lilian Maria; Nazari Formagio, Anelise Samara; Gavassoni, Walber Luiz; Zanella, Claudia de Souza","Evaluation of the fungicidal activity of extracts and essential oils on Asian soybean rust","REVISTA CIENCIA AGRONOMICA","44","757","763","10.1590/S1806-66902013000400012","2013","Extracts and essential oils from plants have a great potential to control phytopathogens due to their direct fungitoxic action, inhibiting mycelial growth and spore germination, and their ability to induce the accumulation of phytoalexins in plants. The objective of this work was to evaluate the effect of different methanol extracts and essential oils on Asian soybean rust (Phakopsora pachyrhizi). The experiment was carried out in a green house and incubator. A completely randomized experimental design of seven treatments and ten replications was used. The soybean cultivar was BRS 245RR; the treatments consisted of essential oils and methanol extracts of the genus Schinus terebinthifolius (Brazilian pepper tree) and Trichilia silvatica (quebra-machado, catigua-vermelho), the surfactant, Tween 80 (1% v/v), and water, as a control. The plants were sprayed with their respective treatments, and then artificially inoculated with the fungus about 24 hours later. The characteristics analysed were: number of leaflets per plot; chlorophyll index, plant height, intensity of the Asian soybean rust, number of leaflets with rust, number of leaflets with a burnt appearance. The plants sprayed with 5% (m/v) Schinus extract, and 1% (v/v) Schinus oil showed greater intensity of the disease compared to those sprayed with water. These two treatments and 1% Trichilia oil caused an increased incidence of burned leaflets, indicating phytotoxicity to the crop.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Amara","NO","447","Brundrett, Mark C.; Grierson, Pauline F.; Bennett, Lauren T.; Weston, Christopher J.","Soils and the Below-ground Interactions that Shape Australian Vegetation","AUSTRALIAN VEGETATION, 3RD EDITION",NA,"156","181",NA,"2017","Vegetation and plant diversity patterns are strongly linked to soil properties, such as fertility, texture and depth in all parts of Australia. This results because many parts of Australia have relatively old and highly weathered soil profiles compared to most other regions. However, interactions between soils and vegetation are very complex because soils result from weathering processes that are determined by substrate type, topography, climate and vegetation, as well as the relocation of materials by wind and water. In a global context, Australian soils in many habitats are highly infertile, with low availability of phosphorus, nitrogen and trace elements. These infertile soils are often linked to shrub-dominated ecosystems, where it is assumed that soil fertility is insufficient to support tree growth, but plant productivity is also severely limited by water availability in many habitats. Low soil nutrient supply is counteracted by plant adaptations to growth in infertile soils, as well as efficient nutrient cycling, especially after fire. In Australia the majority of plants have mycorrhizal associations that assist in nutrient uptake and this includes an exceptionally high diversity of plants with ectomycorrhizal associations, as well as plants with nitrogen fixing symbioses. However, nonmycorrhizal plants are also exceptionally diverse in many Australian vegetation types and include many species with specialised means of nutrition, including carnivores, parasites and cluster-rooted species.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Amara","YES","500","Burrill, Haley M.; Ralston, Ellen B.; Dawson, Heather A.; Roy, Bitty A.","Litter Decomposition in Pacific Northwest Prairies Depends on Fire, with Differential Responses of Saprotrophic and Pyrophilous Fungi","MICROORGANISMS","13",NA,NA,"10.3390/microorganisms13081834","2025","Fungi contribute to ecosystem function through nutrient cycling and decomposition but may be affected by major disturbances such as fire. Some ecosystems are fire-adapted, such as prairies which require cyclical burning to mitigate woody plant encroachment and reduce litter. While fire suppresses fire-sensitive fungi, pyrophilous fungi may continue providing ecosystem functions. Using litter bags, we measured the litter decomposition at three prairies with unburned and burned sections, and we used Illumina sequencing to examine litter communities. We hypothesized that (H1) decomposition would be higher at unburned sites than burned, (H2) increased decomposition at unburned sites would be correlated with higher overall saprotroph diversity, with a lower diversity in autoclaved samples, and (H3) pyrophilous fungal diversity would be higher at burned sites and overall higher in autoclaved samples. H1 was not supported; decomposition was unaffected by burn treatments. H2 and H3 were somewhat supported; saprotroph diversity was lowest in autoclaved litter at burned sites, but pyrophilous fungal diversity was the highest. Pyrophilous fungal diversity significantly contributed to litter decomposition rates, while saprotroph diversity did not. Our findings indicate that fire-adapted prairies host a suite of pyrophilous saprotrophic fungi, and that these fungi play a primary role in litter decomposition post-fire when other fire-sensitive fungal saprotrophs are less abundant.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Amara","YES","100","Caiafa, Marcos V.; Grazziotti, Paulo H.; Karlsen-Ayala, Elena; Jusino, Michelle A.; Healy, Rosanne; Reynolds, Nicole K.; Whitten, W. Mark; Smith, Matthew E.","Ectomycorrhizal fungal communities associated with Crocanthemum and Lechea (Cistaceae) in subtropical Florida sandhill habitats","MYCORRHIZA","34","391","401","10.1007/s00572-024-01172-6","2024","Cistaceae are shrubs, subshrubs and herbs that often occur in stressful, fire-prone or disturbed environments and form ectomycorrhizal (ECM) associations with symbiotic fungi. Although some Cistaceae are long-lived shrubs that grow to significant size, others are herbaceous annuals or short-lived plants. Thus, Cistaceae are atypical ECM hosts that are fundamentally different in their biology from trees that are the more typically studied ECM hosts. The Mediterranean region is the center of diversity for Cistaceae and the ectomycorrhizal fungi associated with Cistaceae hosts have primarily been studied in Europe, North Africa, and the Middle East. Mediterranean Cistaceae often host diverse communities of ECM fungi, but they also act as hosts for some ECM fungi that putatively show host-specificity or strong host preference for Cistaceae (including species of Delastria, Hebeloma, Terfezia, and Tirmania). The ECM associations of Cistaceae in North America, however, remain highly understudied. Here we use fungal DNA metabarcoding to document the ectomycorrhizal fungal communities associated with Crocanthemum and Lechea (Cistaceae) in open, fire-prone sandhill habitats in north Florida. At each site we also sampled nearby Pinus to determine whether small, herbaceous Cistaceae have specialized ECM fungi or whether they share their ECM fungal community with nearby pines. The ECM communities of Florida Cistaceae are dominated by Cenococcum (Ascomycota) and Russula (Basidiomycota) species but were also significantly associated with Delastria, an understudied genus of mostly truffle-like Pezizales (Ascomycota). Although many Cistaceae ECM fungi were shared with neighboring pines, the ECM communities with Cistaceae were nonetheless significantly different than those of pines.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Amara","NO","437","Cancelli, Rodrigo Rodrigues; de Souza, Paulo Alves; Pereira das Neves, Paulo Cesar","Fungi, cryptogams and other palynomorphs in the Holocene sediments of the South Coastal Plain of Santa Catarina, Brazil","ACTA BOTANICA BRASILICA","26","20","37","10.1590/S0102-33062012000100004","2012","(Fungi, cryptogams and other palynomorphs in the Holocene sediments of the South Coastal Plain of Santa Catarina, Brazil). This paper presents the results of a palynological analysis carried out on two cores taken from the south Coastal Plain of the Santa Rosa do Sul and Sao Joao do Sul municipalities, in the state of Santa Catarina. A basal sample from the Santa Rosa do Sul core furnished a C-14 age of 7908 +/- 33 yr BP, from the Lower Holocene. Palynological analysis of the material allowed for taxonomic identifications, and resulted in descriptions and illustrations of 54 palynomorphs related to fungi (21), algae (5), acritarchs (1), incertae sedis (1), bryophytes (2), ferns (15), gymnosperm pollen (2) and other palynomorphs (1 bryophyte capsule, 4 invertebrate fragments, and 2 indeterminate palynoforaminifers), which express different ecological patterns. This work aimed to contribute to the knowledge of the plant and fungal fossils remains, and related taxa, recorded from the Coastal Plain of Santa Catarina for the Holocene. Additional palynological analyses will contribute to paleoclimate and paleoenvironmental interpretations of this portion of the Brazilian coast.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Amara","NO","412","Dames, Joanna Felicity","Litter Accumulation in Pinus patula Plantations and the Role of Ectomycorrhizal Fungi in a Forest Ecosystem",NA,NA,NA,NA,NA,"1996",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
