"STUDY_ID","REVIEWERS","INCLUDE","Study_ID","AUTHORS","TITLE","JOURNAL","VOLUME","INITIAL_PAGE","END_PAGE","DOI","PUBLICATION_YEAR","ABSTRACT","Database_year","INCLUSION","WHY1","INCLUSION2","Pdf_available","Type","Notes...17","INCLUSION3","WHY3","Notes...20","Country","...22","...23","...24"
"17","Amara","YES","370","de Sousa, Rosangela Ribeiro; Leao, Evelynne Urzedo; Veloso, Ronice Alves; Giongo, Marcos; dos Santos, Gil Rodrigues","Impact of burning vegetation on the Cerrado fungi soil","CIENCIA FLORESTAL","29","965","974","10.5902/1980509822614","2019","There are few studies related to the impact of burnings on soil fungi present in the cerrado. The aim of this work was identify the mycoflora in cerrado soil samples before and after burning process at two depths; observing the interference of this process in the fungi soil inhabitants population. The samples were collected in area, in the municipality of Jail do Tocantins, State of Tocantins. Bioassays were installed in a completely randomized experimental design, with four replicates and five treatments, represented by different concentrations of soil solution. The identification of the fungi was made at the genus level according to their morphological structures formed in culture medium through optical microscope observations. In the before burning area we observed greatest diversity of genera and fungi colonies. The opposite was found in the area subsequently submitted to the burning process, showing minor fungal colonies. Among the genera identified, Aspergillus, Penicillium, Cladosporium, Fusarium, Mucor, Pythium and Trichodenna were the most representative colonies. We observed a reduction of 45% approximately in the population of antagonistic fungi. It was found that the use of fire in vegetation negatively influenced microbial populations present in the surface layers of cerrado soil.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Amara","NO","217","Desjardins, NadiaMahiout","Biological Control Trials Against the Beech Mealybug (Cryptococcus fagisuga Lind.), an Insect Precursor of Beech Bark Disease (BCD)",NA,NA,NA,NA,NA,"2010",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Amara","NO","365","Dinis, Daniela Filipa Pereira","Medronheiro e fungos micorrízicos: parceria para o futuroStrawberry Tree and Mycorrhizal Fungi: Partnership for the Future",NA,NA,NA,NA,NA,"2015",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Amara","NO","109","Dinkins, HannahE.","Photosynthesis, Water Use, and Biomass Allocation of Princess Tree (Paulownia Tomentosa) and Tulip Poplar (Liriodendron Tulipifera) First Year Seedlings across Light and Prescribed Fire Conditions",NA,NA,NA,NA,NA,"2021",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Amara","NO","446","Doolittle, Cole J.","The Local Neighborhood Interactions Shaping Tree Communities Through Ecological Disturbance and Environmental Change",NA,NA,NA,NA,NA,"2025",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Amara","NO","486","dos Santos, Mariana Flor Neves Neves","Mercúrio em Cogumelos Selvagens Níveis e Riscos Para Humanos",NA,NA,NA,NA,NA,"2020",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Amara","YES","191","Espinosa, Juncal; Carrillo, Cristina; Madrigal, Javier; Guijarro, Mercedes; Hernando, Carmen; Martin-Pinto, Pablo","Experimental summer fires do not affect fungal diversity but do shape fungal community composition in Mediterranean Pinus nigra forests","FIRE ECOLOGY","21",NA,NA,"10.1186/s42408-025-00352-9","2025","BackgroundFire regimes (in terms of frequency, severity, and intensity) in ecosystems are changing. Summer fires are occurring in Mediterranean forests more frequently and are more severe than spring or autumn fires. Soil microbial communities provide essential ecosystem services and are essential in post-fire recovery. However, to date, studies to determine the impact of summer fires on soil microbial communities have been limited. To explore how more severe fires may affect fungal diversity and community composition, we conducted an experimental summer fire in June 2019 at an experimental site that had been previously established in a pure stand of black pine (Pinus nigra Arn.) in 2016 in the Cuenca Mountains in Spain (Central-Eastern Spain).ResultsMetabarcode DNA analyses of soil samples collected in three blocks (with three plots sampled in unburned and burned areas per block) in spring 2020 revealed that total soil fungi richness and diversity were not affected by summer burning; although no significant, summer burning did have a contrary influence on the most dominant fungal trophic groups. The relative abundance of ectomycorrhizal (ECM) fungi was negatively affected by burning, whereas saprotrophic fungi were positively affected by burning. Fire also had a significant effect on the composition of the total community and when analyzed by the trophic group. Multilevel pattern analysis showed that ECM fungi were significantly correlated with unburned plots. Physicochemical analyses revealed that there were no changes in the main edaphic variables measured.ConclusionsThe application of fire under more critical summer conditions (out of typical prescribed fire weather windows in Europe) did not produce significant differences in the diversity of the fungal community, being ECM fungi more sensitive to heat than other trophic groups. However, the composition of the fungal community differed significantly between burned and unburned plots. Overall, burned plots showed an adaptation to fire with a rapid proliferation of several pyrophilous genera that are able to improve soil conditions, which would enhance post-fire regeneration of the stand.These pioneering results can inform managers in conducting controlled summer fires to surrogate low to medium surface fire in Pinus nigra stands, knowing that the fungal diversity of the ecosystem is not affected, and thus the key ecological role of these organisms is not significantly harmed.ConclusionsThe application of fire under more critical summer conditions (out of typical prescribed fire weather windows in Europe) did not produce significant differences in the diversity of the fungal community, being ECM fungi more sensitive to heat than other trophic groups. However, the composition of the fungal community differed significantly between burned and unburned plots. Overall, burned plots showed an adaptation to fire with a rapid proliferation of several pyrophilous genera that are able to improve soil conditions, which would enhance post-fire regeneration of the stand.These pioneering results can inform managers in conducting controlled summer fires to surrogate low to medium surface fire in Pinus nigra stands, knowing that the fungal diversity of the ecosystem is not affected, and thus the key ecological role of these organisms is not significantly harmed.AntecedentesLos reg & iacute;menes de fuego en ecosistemas (en t & eacute;rminos de frecuencia, severidad, e intensidad), est & aacute;n cambiando. Los fuegos de verano est & aacute;n ocurriendo en los bosques del Mediterr & aacute;neo con mucha mayor frecuencia y severidad que en primavera u oto & ntilde;o. Las comunidades microbianas del suelo proveen de servicios ecosist & eacute;micos esenciales y son tambi & eacute;n esenciales en la recuperaci & oacute;n post-fuego. Sin embargo y hasta ahora, los estudios que determinan el impacto de los fuegos de verano en las comunidades microbianas han sido limitados. Para explorar c & oacute;mo fuegos m & aacute;s severos pueden afectar la diversidad de hongos y la composici & oacute;n de la comunidad, condujimos una quema experimental de verano en junio de 2019 en un sitio experimental que hab & iacute;a sido establecido previamente en un rodal puro de pino negro (Pinus nigra Arn.) en 2016 en las monta & ntilde;as de Cuenca en Espa & ntilde;a (Centro-Este de Espa & ntilde;a).ResultadosAn & aacute;lisis de codificaci & oacute;n mediante AND de muestras de suelo colectadas en tres bloques (con tres parcelas muestreadas en & aacute;reas quemadas y sin quemar por bloque) en la primavera de 2020, revelaron que la riqueza total de hongos y la diversidad no fueron afectadas por la quema de verano; sin embargo, la quema de verano si tuvo una influencia significativa en los grupos tr & oacute;ficos de hongos m & aacute;s dominantes. La abundacia relativa de hongos ectomicorr & iacute;cicos (ECM) fue negativamente afectada por las quemas, mientras que los hongos saprof & iacute;ticos fueron positivamente afectados por las quemas. El fuego tuvo tambi & eacute;n efectos significativos en la composici & oacute;n total de la comunidad y cuando fue analizada por grupos tr & oacute;ficos. El an & aacute;lisis de patrones revel & oacute; que no hubo cambios en las principales variables ed & aacute;ficas medidas.ConclusionesLa aplicaci & oacute;n de quemas bajo las condiciones cr & iacute;ticas del verano (por fuera de las ventanas de prescripci & oacute;n en Europa) no produjo diferencias significativas en la diversidad de la comunidad f & uacute;ngica, siendo los hongos (ECM) m & aacute;s sensibles al fuego que otros grupos tr & oacute;ficos. Sin embargo, la composici & oacute;n de la comunidad f & uacute;ngica difiri & oacute; significativamente entre parcelas quemadas y no quemadas. En general, las parcelas quemadas mostraron una adaptaci & oacute;n al fuego con una r & aacute;pida proliferaci & oacute;n de varios g & eacute;neros de pir & oacute;filos, que son capaces de mejorar las condiciones del suelo, los cuales pueden aumentar la regeneraci & oacute;n post fuego del rodal.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Amara","YES","312","Heinken, Thilo; Blumroeder, Jeanette S.; Adhikari, Yojana; Balthasar, Cathrina; Binder, Anja; Birkhofer, Klaus; Bischoff, Antje; Brosinsky, Arlena; Bubner, Ben; Clerc, Danica; Djoudi, El Aziz; Dobkowitz, Sophia; Francke, Till; Gerwin, Werner; Hartong, Heinrich; Hess, Carsten; Jarling, Rene; Jouy, Florent; Leinen, Loretta; Meissner, Andreas; Raab, Thomas; Repmann, Frank; Roennefarth, Susanne; Schaaf, Wolfgang; Schirrmacher, Marina; Schmehl, Marie-Therese; Schmitt, Thomas; Schroeder, Jens; Schuele, Maren; Sturm, Knut; Welle, Torsten; Ibisch, Pierre L.","PYROPHOB - A post-fire ecosystem research project to inform management for resilient forest development","TUEXENIA",NA,NA,NA,"10.14471/2024.44.004","2024","PYROPHOB (fire-resistant) is the name of an interdisciplinary research project that is running for five years from 2020 to 2025. In this project, eight institutions are investigating the ecological effects of wildfires and subsequent forest management strategies in pine forests (plantations) in Brandenburg (NE Germany), with the aim of formulating practical recommendations for managing fire-prone forests and the effective restoration of post-fire forest areas. We provide a brief overview of what is known about the effects of wildfire on abiotic and biotic parameters in temperate pine forests, as well as the effects of silvicultural treatments. To date, we know little about how different components of biodiversity are linked in post-fire forest ecosystems and how management affects their functioning. By describing the project, we illustrate the requirements for the implementation of such an applied research project. We emphasize the importance of the study design for dealing with interdisciplinary questions and for the quantitative synthesis of research results. The project comprises a set of standardised field plots in two wildfire areas covering different post-fire management options.Fifteen study sites were established, including two reference sites in unburned pine stands, each with ten study plots as replicates. In situ nitrogen mineralisation, litter decomposition tests and soil biological activity are used for soil biological characterisation. Microclimate data is measured continuously. Standing and lying dead wood and tree regeneration are recorded as key indicators of the success of forestry treatments. Further methods com-prise terrestrial laser scanning, remote sensing techniques as well as surveys of vegetation and above and below ground biomass. Identification of fruiting body-forming fungi, phytoparasites and ectomycorrhizal fungi is supported by marker gene sequencing. Faunistic indicators comprise predatory soil arthropods (pairs of emergence tents and soil traps), saproxylic beetles (flight traps and funnel traps), moths (automated window traps), mammals (camera traps), and breeding birds (visual and acoustic observation). We discuss the strengths and limitations of the project design. We are able to systematically capture short-term temporal shifts in parameters and trends in post-fire ecosystem development. Research in a real landscape with ongoing environmental changes and interventions pres-ents challenges for experimental design, data analysis and interpretation. The drivers of ecosystem development are rarely completely independent or perfectly balanced, and lack of replication is ine-vitable. The two fires did not occur in the same year and season, resulting in different initial conditions for the colonisation of the burned areas. Finally, a large part of one study area was again affected by a fire in 2022, which destroyed direct comparability with the other sites. Despite these obstacles the project has started to generate valuable results to address management and conservation challenges","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Amara","NO","402","Human, Zander Rainier","The Microbial Ecology of Protea repens (Proteaceae) Infructescences and the Surrounding Environment",NA,NA,NA,NA,NA,"2018",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Amara","NO","396","Jardim, Raissa; Marques, Marcia; do Carmo, Marta; Cavalin, Pedro; de Oliveira, Ricardo; Carlucci, Marcos","Unveiling above- and below-ground ecological strategies that underlie woody plant encroachment in grasslands","JOURNAL OF ECOLOGY","113","1068","1086","10.1111/1365-2745.70003","2025","Forests and grasslands often occur side by side in the landscape, forming a complex mosaic system with contrasting environmental conditions, maintained by different fire-vegetation stabilising feedbacks. Woody species that occur along this sharp gradient must adopt viable ecological strategies to deal with the contrasting environments of these ecosystems. For this, plants are challenged to efficiently coordinate the functioning of ecological strategy dimensions above- and below-ground. We tested hypotheses related to structural changes in vegetation and associated shifts in community-level trait patterns and ecological strategies during woody plant encroachment. We surveyed 60 permanent plots in forest-grassland mosaics at two different times (2012-2022) to obtain data on changes in vegetation structure, species composition, abundance and ecological strategies after 10 years without disturbance, capturing a gradient from open and woody plant-encroached grasslands to closed forests. An integrated functional approach was used to assess the different dimensions of plant trait variation, including 10 above- and below-ground traits, representing whole-plant, leaf, stem and root strategies. Woody plant encroachment led to a substantial increase in woody plant density in former grasslands, transforming their structure to resemble that of young forests. Interestingly, we found clear trade-offs between above- and below-ground traits among woody species. On the one hand, the species occurring in grassland had conservative leaves, a strategy for protection against high solar incidence, physical damage and drought, and had roots with a 'do-it-yourself' strategy, which ensures efficiency in the acquisition of nutrients and water in nutrient-limited soils, and had thick bark related to fire resistance. On the other hand, forest species were usually taller and had acquisitive leaves, indicating highly competitive ability in light-limited forests, whereas their roots had an 'outsourcing' strategy of resource uptake to mycorrhizal fungi in the nutrient-rich soils of forests. Synthesis: We advanced the current understanding of woody plant encroachment in grasslands by showing the underlying trait-based trade-offs that enable woody species to occur along the transition between forest and grassland through space and time. Importantly, we have shown how below-ground traits are important in explaining the species strategies, with a negative covariance between above- and below-ground. Our integrative trait-based approach will be helpful in better understanding and managing forest-grassland mosaics in southern Brazil and analogous patchy ecosystems around the world.Florestas e campos frequentemente ocorrem lado a lado na paisagem, formando um sistema mosaico complexo com condiçõ es ambientais contrastantes, mantido por diferentes feedbacks estabilizadores entre fogo e vegetaçã o. Espé cies lenhosas que ocorrem ao longo desse acentuado gradiente devem adotar estraté gias ecoló gicas viá veis para lidar com os ambientes contrastantes desses ecossistemas. Para isso, as plantas precisam coordenar eficientemente o seu funcionamento acima e abaixo do solo. No presente artigo nó s avaliamos mudanç as estruturais na vegetaçã o associadas com mudanç as funcionais na escala de comunidades e nas estraté gias ecoló gicas das espé cies durante o processo de adensamento de espé cies lenhosas. Para isso, realizamos a amostragem de 60 parcelas permanentes localizadas nos mosaicos campo-floresta, em dois perí odos de tempo (2012 e 2022). O objetivo foi de obter dados sobre mudanç as na estrutura da vegetaçã o, composiçã o de espé cies, abundâ ncia e estraté gias ecoló gicas apó s 10 anos sem distú rbios, capturando um gradiente que vai de campos abertos, campo adensado por plantas lenhosas até florestas fechadas. Utilizamos uma abordagem funcional integrada para aavaliar as diferentes dimensõ es funcionais das plantas, incluindo 10 atributos funcionais acima e abaixo do solo (incluindo atributos de folha, caule e raiz). O adensamento de espé cies lenhosas resultou em um aumento substancial na densidade de plantas lenhosas em á reas anteriormente ocupadas por campos, transformando sua estrutura que atualmente se assemelha à de florestas jovens. Curiosamente, identificamos claros trade-offs entre atributos funcionais acima e abaixo do solo em espé cies lenhosas. Por um lado, as espé cies ocorrendo em campos apresentaram folhas conservativas, uma estraté gia para proteçã o contra alta incidê ncia solar, danos fí sicos e seca, alé m de raí zes com uma estraté gia 'faç a você mesmo', garantindo eficiê ncia na aquisiçã o de nutrientes e á gua em solos pobres, e casca espessa relacionada à resistê ncia ao fogo. Por outro lado, espé cies de floresta foram geralmente mais altas e apresentaram folhas aquisitivas, indicando alta competitividade onde existe limitaçã o de luz, enquanto suas raí zes exibiram uma estraté gia de aquisiçã o de recursos mediada por fungos micorrí zicos, no ambiente onde os solos sã o mais ricos. Sí ntese. Avanç amos no entendimento atual sobre o adensamento de espé cies lenhosas sobre os campos ao demonstrar os trade-offs funcionais que permitem a ocorrê ncia de espé cies lenhosas ao longo da transiçã o entre floresta e campo no espaç o e no tempo. Mostramos, especialmente, como atributos funcionais abaixo do solo sã o importantes para explicar as estraté gias das espé cies, com uma covariâ ncia negativa entre atributos funcionais acima e abaixo do solo. Nossa abordagem integrativa baseada em atributos foi ú til para um melhor entendimento e manejo de mosaicos floresta-campo no sul do Brasil e em ecossistemas aná logos ao redor do mundo.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Amara","NO","452","Kalinhoff, Carolina; Cáceres, Alicia; Lugo, Leonardo","Cambios en la biomasa de raíces y micorrizas arbusculares en cultivos itinerantes del Amazonas Venezolano","Interciencia","34","571","576",NA,"2009","The allocation of biomass to the production of fine roots in terrestrial plants and arbuscular mycorrhizal (AM) symbiotic partnerships are important adaptations under conditions of low fertility. In a mosaic of shifting cultivation, comprising two growing areas (conucos) and two 2-4 and 4-6 years deserted areas after being cultivated (fallow), and a little disturbed rain forest area, differences in fine root biomass (diameter <2mm), infective potential of soil and spore density of arbuscular mycorrhizal fungi (AMF) were assessed. Roots and soil samples were collected at random in the first 15cm of depth. There was a significantly higher proportion of fine roots in the mantle root surface (mat) with respect to the mineral soil of the forest. Fine root biomass decreased markedly and the root mat was eliminated with the conversion of forest to conuco; however, within a six year fallow period an incipient root mat formed. AM colonization, number of spores and infective potential of the soil increased significantly in conuco and fallows with respect to the forest. The results show that the adverse effects that fire might have on the AMF were reversed during cultivation, possibly due to the planting of species that are highly susceptible to AM colonization. These trends support the sustainable nature of the piaroa ethnic group shifting cultivation, when it is practiced in its traditional form.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Amara","NO","361","Karlsen-Ayala, Elena","Characterization of Ectomycorrhizal Fungal Communities Associated With Florida Slash Pine in the South Florida Pine Rocklands",NA,NA,NA,NA,NA,"2022",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Amara","NO","368","Kong, Jianjian; Ding, Zifan; Cai, Wenhua; Zu, Jiaxing; Liu, Bo; Yang, Jian","Topography and Wildfire Jointly Mediate Postfire Ecosystem Multifunctionality in a Chinese Boreal Forest","FIRE-SWITZERLAND","7",NA,NA,"10.3390/fire7110417","2024","Both topography and wildfire can exert significant influences on ecosystem processes and functions during boreal forest successions. However, their impacts on ecosystem multifunctionality (EMF) remain unclear. A mega-fire burned an area of 8700 hectares in the Great Xing'an Mountains in 2000, creating a wide range of fire severity levels across various topographic positions. This provided a unique opportunity to explore the impacts of mixed-severity fire disturbance in boreal forests. We evaluated the effect pathways of wildfire and topography on aboveground multifunctionality (AEMF), soil multifunctionality (SEMF), and overall multifunctionality (OEMF). We found that high-severity burning resulted in lower AEMF, SEMF, and OEMF relative to low-severity burning. Topographic positions significantly influenced SEMF and OEMF, but not AEMF. Specifically, both lower SEMF and OEMF were observed on south-facing slopes. The structure equation model analysis showed that aspect had exerted strong indirect effects on AEMF, SEMF, and OEMF by affecting soil moisture and regenerated tree density (RTD). Fire severity had indirect negative effects on AEMF and OEMF by reducing RTD and on SEMF by reducing soil bacterial diversity and RTD. Our study elucidates the necessity of considering postfire site environments to better manage forest ecosystems and, in turn, promote the rapid recovery of boreal ecosystem functions.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Amara","NO","523","Krichels, Alexander H.; Stephens, Elizah Z.; Reid, Chloe; Barriga, M. Fabiola Pulido; Ordonez, Maria E.; McLaren, Jennie R.; Kargul, Meg; Larios, Loralee; Glassman, Sydney I.; Homyak, Peter M.","Wildfire-Induced Losses of Soil Particulate and Mineral-Associated Organic Carbon Persist for Over 4 Years in a Chaparral Ecosystem","GLOBAL CHANGE BIOLOGY","31",NA,NA,"10.1111/gcb.70404","2025","Wildfires can lower soil carbon (C) stocks directly through combustion, but also indirectly during post-fire recovery if microbial C demands outpace photosynthetic C inputs. However, how much C is respired by soil microorganisms post-fire may depend on wildfire effects on particulate organic carbon (POC; mostly plant material accessible to microbes) and/or mineral-associated organic carbon (MAOC; considered C protected by minerals from decomposers), meaning assessment of wildfire impacts on these pools is necessary to predict microbial decomposition rates and, thus, the fate of soil C. Here, we measured POC, MAOC, pyrogenic organic matter C, plant cover, extracellular enzyme activity (EEA), and microbial community abundance and composition 17 days, and 1, 3, and 4 years after the Holy Fire burned 94 km(2) of fire-adapted chaparral. The wildfire immediately decreased POC by 50% (from 51 +/- 21 to 26 +/- 6 g C kg(-1)) and MAOC by 33% (from 9.3 +/- 0.9 to 6.3 +/- 0.9 g C kg(-1)), consistent with MAOC being less vulnerable to loss than POC. POC decreased by another 38% 1 year post-fire, consistent with increases in microbial abundance and EEA suggesting increased microbial decomposition. Between 1 and 4 years after the fire, cover of the dominant shrub (Arctostaphylos glandulosa) increased from 3.9% +/- 1.6% to 16% +/- 5.4% (compared to 58% +/- 4.6% in unburned plots), marking the end of net soil C losses. Still, soil C did not increase between 1 and 4 years post-fire, suggesting plant C inputs did not outpace microbial respiration, a finding consistent with isotopically heavier C from microorganisms raising bulk soil delta C-13 values. As global changes favor increases in wildfire frequency and severity, C losses via combustion and decomposition may outpace plant C inputs during the first 4 years post-fire in chaparral, slowing the replenishment of soil C stocks.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Amara","YES","190","Lazarevic, Jelena; Topalovic, Ana; Menkis, Audrius","Fungal Diversity in Fire-Affected Pine Forest Soils at the Upper Tree Line","FORESTS","15",NA,NA,"10.3390/f15112012","2024","Forest fires represent a significant ecological disturbance in ecosystems that increasingly affects Pinus heldreichii H. Christ forests at the upper tree line in Montenegro, due to climate change and anthropogenic factors. Soil samples were collected from five high-altitude sites in the Ku & ccaron;i Mountains, including three post-fire sites (2-, 4-, and 6-years post-fire) and two unburned control sites. High-throughput sequencing and soil chemical analyses were conducted to assess fungal diversity, community composition, and soil nutrient properties. The results showed that fungal diversity was significantly higher in unburned soils compared to post-fire soils, with the most prominent changes in ectomycorrhizal fungi, which are crucial for pine regeneration. The fungal community composition differed markedly between the post-fire and unburned sites, with specific taxa such as Hygrocybe conica (Schaeff.) P. Kumm. and Solicoccozyma aeria (Saito) Yurkov dominating the post-fire environments. Despite this, the fungal richness did not significantly change over time (2-, 4-, or 6-years post-fire), suggesting the slow recovery of fungal communities in high-altitude environments. In addition to shifts in fungal biodiversity, the post-fire soils exhibited higher levels of available phosphorus, likely due to the conversion of organic phosphorus into soluble forms during combustion. However, the organic matter content remained unchanged. This study provided important insights into the long-term ecological impacts of forest fires on high-altitude P. heldreichii forests and underlined the importance of preserving unburned forest areas to maintain fungal biodiversity and support natural regeneration, as well as the potential need for active restoration strategies in fire-affected regions.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Amara","NO","114","Livne-Luzon, Stav; Perlson, Oren; Avidan, Yael; Sivan, Guy; Bruns, Thomas D.; Shemesh, Hagai","A non-linear effect of the spatial structure of the soil ectomycorrhizal spore bank on the performance of pine seedlings","MYCORRHIZA","31","325","333","10.1007/s00572-021-01023-8","2021","The spatial structure of the environment is known to affect ecological processes. Unlike the spatial structure of negative interactions, such as competition and predation, the role of spatial structure in positive interaction has received less attention. We tested how the spatial structure of spores of ectomycorrhizal fungi (EMF) in the soil affects the growth of Aleppo pine (Pinus halepensis) seedlings. Spores were spatially distributed at four different levels of patchiness (1 patch, 4 patches, 8 patches and complete mixing) in 4 L pots (all pots received the same total amount of spores). Based on previous findings, we hypothesized that plant performance would gradually increase from the single patch treatment to the complete mixing. However, we found a non-linear response to patchiness. Specifically, plants were largest in the single patch and complete mixing while those in the 4 and 8 patch treatments were the smallest. This non-monotonic response, which might be the result of spatially determined colonization timing or community composition, suggests that the spatial structure of EMF spores has a complex effect on seedling growth.","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Amara","NO","459","Luís, Rosa de Jesus Marques","Efeitos da Queima Prescrita nos Microrganismos do SoloEffects of Prescribed Burning on Soil Microorganisms",NA,NA,NA,NA,NA,"2021",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
